date,paid_price
2025-07-28,899.05
2025-07-29,249.99
2025-07-30,585.4
2025-07-31,562.48
2025-08-01,399.93
2025-08-02,403.95
2025-08-03,371.1
2025-08-04,595.55
2025-08-05,421.55
2025-08-06,363.5
2025-08-07,360.63
2025-08-08,295.98
2025-08-09,143.39
2025-08-10,405.75
2025-08-11,350.08
2025-08-12,108.0
2025-08-13,160.03
2025-08-14,459.02
2025-08-15,343.4
2025-08-16,240.55
2025-08-18,157.9
2025-08-19,144.2
2025-08-20,495.9
2025-08-21,165.75
2025-08-23,436.1
2025-08-24,124.5
2025-08-25,86.09
2025-08-26,300.53
2025-08-27,115.0
2025-08-28,136.68
2025-08-29,263.5
2025-08-30,187.97
2025-08-31,268.1
2025-09-01,723.72
2025-09-03,220.99
2025-09-05,297.09
2025-09-06,179.4
2025-09-07,214.7
2025-09-08,511.29
2025-09-10,60.0
2025-09-11,144.0
2025-09-12,335.29
2025-09-13,119.25
2025-09-14,130.15
2025-09-15,467.4
2025-09-16,51.0
2025-09-17,108.75
2025-09-18,492.27
2025-09-21,90.95
2025-09-22,727.75
2025-09-23,229.5
2025-09-24,126.24
2025-09-25,59.25
2025-09-27,21.6
2025-09-29,89.99
2025-09-30,163.8
2025-10-01,30.9
2025-10-02,137.99
2025-10-03,523.25
2025-10-04,24.99
2025-10-05,56.25
2025-10-06,40.25
2025-10-08,45.75
2025-10-09,101.8
2025-10-10,29.0
2025-10-11,217.85
2025-10-13,195.0
2025-10-15,77.69
2025-10-16,23.99
2025-10-18,256.8
2025-10-19,195.0
2025-10-20,85.2
2025-10-22,22.0
2025-10-25,65.0
2025-10-30,94.2
2025-11-02,62.25
2025-11-03,22.5
2025-11-09,29.7
2025-12-02,59.75
2025-12-04,76.8
2025-12-05,60.0
2025-12-06,172.8
