id,title,author,genre,publisher,year,author_set,author_set_name
21920,Casino,Marlon Casper,Science fiction,"Harry N. Abrams, Inc.",1993,"('Marlon Casper',)",Marlon Casper
22005,Life is Strange,"Era Hodkiewicz, Miss Bok Barrows, Jeffery Leuschke PhD",Western,Del Rey Books,2021,"('Era Hodkiewicz', 'Jeffery Leuschke PhD', 'Miss Bok Barrows')","Era Hodkiewicz, Jeffery Leuschke PhD, Miss Bok Barrows"
21953,The Witcher,Bennett Raynor,Crime/Detective,Pen and Sword Books,2018,"('Bennett Raynor',)",Bennett Raynor
21747,Let Us Now Praise Famous Men,Sook Halvorson,Speech,Macmillan Publishers,1959,"('Sook Halvorson',)",Sook Halvorson
21869,Call of Duty: Black Ops 4,Sanjuana Bernier,Science fiction,United States Government Publishing Office,1991,"('Sanjuana Bernier',)",Sanjuana Bernier
21901,Wildfire at Midnight,Valery Schimmel,Humor,Daedalus Publishing,2007,"('Valery Schimmel',)",Valery Schimmel
21618,Pokémon Sun,Miss Ward Farrell,Horror,Hay House,2002,"('Miss Ward Farrell',)",Miss Ward Farrell
21827,The Sixth Sense,Mireya Schroeder,Realistic fiction,Reed Elsevier,2002,"('Mireya Schroeder',)",Mireya Schroeder
21723,Rush,Billy Dare,Fairy tale,Anvil Press Poetry,2011,"('Billy Dare',)",Billy Dare
22001,Pokémon Sapphire,Amb. Amberly Beatty,Fanfiction,Golden Cockerel Press,1992,"('Amb. Amberly Beatty',)",Amb. Amberly Beatty
21495,I Sing the Body Electric,Hoyt Jacobson III,Textbook,Hodder Headline,1996,"('Hoyt Jacobson III',)",Hoyt Jacobson III
21780,Clannad,Trevor Turner,Fiction in verse,Mascot Books,2023,"('Trevor Turner',)",Trevor Turner
21921,The Wizard of Oz,Rocky Erdman,Comic/Graphic Novel,Athabasca University Press,1984,"('Rocky Erdman',)",Rocky Erdman
21648,Call of Duty: Modern Warfare 3,"Alphonso Gulgowski, Josette Nikolaus DC, Mercedez Welch",Tall tale,George Routledge & Sons,1843,"('Alphonso Gulgowski', 'Josette Nikolaus DC', 'Mercedez Welch')","Alphonso Gulgowski, Josette Nikolaus DC, Mercedez Welch"
21771,Devil May Cry,Bob Treutel DDS,Fiction in verse,Cengage Learning,2024,"('Bob Treutel DDS',)",Bob Treutel DDS
21707,The Departed,Antonio Lindgren,Speech,Vintage Books,2005,"('Antonio Lindgren',)",Antonio Lindgren
21684,Mario Kart 7,"Benedict Steuber, Randal McCullough, Jon Hettinger DVM",Speech,Ellora's Cave,2000,"('Benedict Steuber', 'Jon Hettinger DVM', 'Randal McCullough')","Benedict Steuber, Jon Hettinger DVM, Randal McCullough"
21469,Wii Play,"Travis Von, Leighann O'Connell",Fable,Haynes Manuals,1943,"(""Leighann O'Connell"", 'Travis Von')","Leighann O'Connell, Travis Von"
21655,Come Away with Me,"Roman Koss, Sook Halvorson",Crime/Detective,Pan Books,2013,"('Roman Koss', 'Sook Halvorson')","Roman Koss, Sook Halvorson"
21902,Backstreet's Back,Kizzie Purdy,Legend,Book League of America,1997,"('Kizzie Purdy',)",Kizzie Purdy
21383,The Lord of the Rings: The Fellowship of the Ring,"Fredda Brekke, Vernice Emard, Dylan Upton",Metafiction,Atlantic Books,2022,"('Dylan Upton', 'Fredda Brekke', 'Vernice Emard')","Dylan Upton, Fredda Brekke, Vernice Emard"
21699,Star Wars: Episode IX – The Rise of Skywalker,"Roman Koss, Sook Halvorson",Comic/Graphic Novel,Ten Speed Press,2014,"('Roman Koss', 'Sook Halvorson')","Roman Koss, Sook Halvorson"
21298,Princess Mononoke,Rosann Wolf VM,Comic/Graphic Novel,Hachette Book Group USA,1996,"('Rosann Wolf VM',)",Rosann Wolf VM
21773,Shutter Island,Kathey Gorczany,Fable,Bloodaxe Books,1837,"('Kathey Gorczany',)",Kathey Gorczany
21914,Mass Effect 2,Prof. Augustus Konopelski,Legend,E. P. Dutton,1945,"('Prof. Augustus Konopelski',)",Prof. Augustus Konopelski
21656,To Say Nothing of the Dog,Veronique Carter,Reference book,Hamish Hamilton,1996,"('Veronique Carter',)",Veronique Carter
21767,12 Angry Men,"Coy Streich, Lela Emard, Keeley Hand",Realistic fiction,,2021,"('Coy Streich', 'Keeley Hand', 'Lela Emard')","Coy Streich, Keeley Hand, Lela Emard"
21326,Halo: Combat Evolved,Joana Botsford,Speech,Nonesuch Press,2022,"('Joana Botsford',)",Joana Botsford
21859,Legend: The Best of Bob Marley & The Wailers,Alec Ziemann,Essay,,2023,"('Alec Ziemann',)",Alec Ziemann
21407,The Torment of Others,Reid Rice,Mythopoeia,Airiti Press,1914,"('Reid Rice',)",Reid Rice
21721,Beyond the Mexique Bay,"Reginia Weissnat, Miss Wade Lebsack",Classic,Gefen Publishing House,1988,"('Miss Wade Lebsack', 'Reginia Weissnat')","Miss Wade Lebsack, Reginia Weissnat"
21538,Command & Conquer 3: Tiberium Wars,Pedro Bradtke,Mythology,Cisco Press,1979,"('Pedro Bradtke',)",Pedro Bradtke
21616,Mario Kart: Double Dash,Mr. Dominque Becker,Realistic fiction,Virago Press,2020,"('Mr. Dominque Becker',)",Mr. Dominque Becker
21904,The Sting,Alina Collier Esq.,Classic,Caister Academic Press,1992,"('Alina Collier Esq.',)",Alina Collier Esq.
21653,Blue Remembered Earth,"Joseph Raynor, Ja Ankunding II",Legend,Eel Pie Publishing,1986,"('Ja Ankunding II', 'Joseph Raynor')","Ja Ankunding II, Joseph Raynor"
21739,Quake,"Renee Rogahn, Merrill Marks",Realistic fiction,Harcourt Trade Publishers,1981,"('Merrill Marks', 'Renee Rogahn')","Merrill Marks, Renee Rogahn"
21677,Vanity Fair,Elane Miller,Reference book,Victor Gollancz Ltd,1993,"('Elane Miller',)",Elane Miller
21530,Led Zeppelin IV,"Rocky Erdman, Curtis Rohan",Realistic fiction,Tartarus Press,1990,"('Curtis Rohan', 'Rocky Erdman')","Curtis Rohan, Rocky Erdman"
21361,Great Work of Time,Laronda Kuhn,Crime/Detective,J. M. Dent,1992,"('Laronda Kuhn',)",Laronda Kuhn
22002,LittleBigPlanet,Johnny Russel,Humor,Library of America,2007,"('Johnny Russel',)",Johnny Russel
21568,Overwatch,Luigi Parker,Crime/Detective,Imperial War Museum,1982,"('Luigi Parker',)",Luigi Parker
21384,The Legend of Zelda,"Sook Halvorson, Roman Koss",Speech,Victor Gollancz Ltd,1995,"('Roman Koss', 'Sook Halvorson')","Roman Koss, Sook Halvorson"
21714,Wolfenstein 3D,Elvina Nader,Biography/Autobiography,University of Michigan Press,1995,"('Elvina Nader',)",Elvina Nader
21580,Mr Standfast,Sen. Leta Berge,Comic/Graphic Novel,Chatto and Windus,2013,"('Sen. Leta Berge',)",Sen. Leta Berge
22014,Mario Kart 64,Jerald Raynor,Textbook,Indiana University Press,1980,"('Jerald Raynor',)",Jerald Raynor
21692,Just Cause 2,Dr. Deb Kemmer,Realistic fiction,Pen and Sword Books,1916,"('Dr. Deb Kemmer',)",Dr. Deb Kemmer
21519,Greatest Hits,Reuben Mayert,Classic,Hackett Publishing Company,2015,"('Reuben Mayert',)",Reuben Mayert
21610,Ring of Bright Water,"Timmy Corwin, Franklyn Stokes VM",Legend,Horizon Scientific Press,1996,"('Franklyn Stokes VM', 'Timmy Corwin')","Franklyn Stokes VM, Timmy Corwin"
21471,Call of Duty,Myrtis Corwin,Narrative nonfiction,HarperCollins,2026,"('Myrtis Corwin',)",Myrtis Corwin
22039,21,"Lavon Langosh, Msgr. Juan Beer, Garth Heidenreich",Fairy tale,Elsevier,2021,"('Garth Heidenreich', 'Lavon Langosh', 'Msgr. Juan Beer')","Garth Heidenreich, Lavon Langosh, Msgr. Juan Beer"
21785,Oh! To be in England,Amb. Nannie Labadie,Legend,Indiana University Press,1985,"('Amb. Nannie Labadie',)",Amb. Nannie Labadie
21564,Pokémon Diamond,Sonny Bogan,Classic,Marion Boyars Publishers,1979,"('Sonny Bogan',)",Sonny Bogan
21877,Half-Life: Opposing Force,"Anton Toy, Tabetha Johnston",Realistic fiction,Ziff Davis Media,1987,"('Anton Toy', 'Tabetha Johnston')","Anton Toy, Tabetha Johnston"
21502,The Shining,Korey Rice V,Reference book,Libertas Academica,1996,"('Korey Rice V',)",Korey Rice V
21347,Blade Runner,Zackary Carter,Suspense/Thriller,Eel Pie Publishing,1987,"('Zackary Carter',)",Zackary Carter
21536,Counter-Strike,Pres. Donya West,Horror,D. Appleton & Company,2004,"('Pres. Donya West',)",Pres. Donya West
21465,Die Hard,Rocky Erdman,Mystery,Allen Ltd,2007,"('Rocky Erdman',)",Rocky Erdman
21343,Halo 5: Guardians,"Coy Streich, Keeley Hand, Lela Emard",Horror,HarperCollins,1997,"('Coy Streich', 'Keeley Hand', 'Lela Emard')","Coy Streich, Keeley Hand, Lela Emard"
21861,All About Eve,Andreas Mohr,Textbook,Felony & Mayhem Press,2001,"('Andreas Mohr',)",Andreas Mohr
21659,Fortnite,"Norberto Kohler, Moshe Wilderman",Metafiction,Newnes,1974,"('Moshe Wilderman', 'Norberto Kohler')","Moshe Wilderman, Norberto Kohler"
21824,A Glass of Blessings,Garth Marvin,Horror,Holt McDougal,2022,"('Garth Marvin',)",Garth Marvin
21378,The Wall,Elliot Monahan,Speech,Anvil Press Poetry,2024,"('Elliot Monahan',)",Elliot Monahan
21385,Twelve Monkeys,Earnest Glover,Mythology,Mascot Books,1983,"('Earnest Glover',)",Earnest Glover
22042,25,Benjamin Mills,Fantasy,Marshall Cavendish,1964,"('Benjamin Mills',)",Benjamin Mills
21435,Super Mario World,Jerry Cormier,Legend,Bantam Books,1848,"('Jerry Cormier',)",Jerry Cormier
21545,The Dark Side of the Moon,"Beverly McDermott, Pedro Bradtke",Tall tale,Velazquez Press,1965,"('Beverly McDermott', 'Pedro Bradtke')","Beverly McDermott, Pedro Bradtke"
21665,Back in Black,"Sen. Amber Roberts, Prof. Augustus Konopelski",Realistic fiction,Etruscan Press,1992,"('Prof. Augustus Konopelski', 'Sen. Amber Roberts')","Prof. Augustus Konopelski, Sen. Amber Roberts"
21346,Where Angels Fear to Tread,"Yesenia Raynor DDS, Hue Ondricka I, Lewis Boehm",Fantasy,DAW Books,2024,"('Hue Ondricka I', 'Lewis Boehm', 'Yesenia Raynor DDS')","Hue Ondricka I, Lewis Boehm, Yesenia Raynor DDS"
21858,It's a Battlefield,"Julius Barrows, Tamika Hayes",Legend,Flame Tree Publishing,1982,"('Julius Barrows', 'Tamika Hayes')","Julius Barrows, Tamika Hayes"
21439,The Cricket on the Hearth,Josue Grady,Fiction in verse,ECW Press,2025,"('Josue Grady',)",Josue Grady
21745,Toy Story 3,"Msgr. Juan Beer, Garth Heidenreich, Lavon Langosh",Narrative nonfiction,Harper & Row,1976,"('Garth Heidenreich', 'Lavon Langosh', 'Msgr. Juan Beer')","Garth Heidenreich, Lavon Langosh, Msgr. Juan Beer"
21577,The Wolf of Wall Street,Ozzie Jast,Fable,Ignatius Press,1994,"('Ozzie Jast',)",Ozzie Jast
22057,Consider Phlebas,Matthew Boehm,Folklore,Berkley Books,-1,"('Matthew Boehm',)",Matthew Boehm
21759,Call of Duty: Black Ops II,Benjamin Mills,Tall tale,New Holland Publishers,1993,"('Benjamin Mills',)",Benjamin Mills
21808,The Wings of the Dove,"Antione O'Reilly, Josette Nikolaus DC",Speech,University of Chicago Press,1997,"(""Antione O'Reilly"", 'Josette Nikolaus DC')","Antione O'Reilly, Josette Nikolaus DC"
21351,Team Fortress 2,Jermaine Wehner,Legend,Earthscan,1985,"('Jermaine Wehner',)",Jermaine Wehner
21364,Gran Torino,Jeffry Nolan Ret.,Mythology,Bantam Spectra,0,"('Jeffry Nolan Ret.',)",Jeffry Nolan Ret.
21501,A Summer Bird-Cage,Leighann O'Connell,Humor,Signet Books,1984,"(""Leighann O'Connell"",)",Leighann O'Connell
21319,X&Y,Caroyln Wilderman,Historical fiction,Darakwon Press,2012,"('Caroyln Wilderman',)",Caroyln Wilderman
21688,Halo 3: ODST,"Dominque Fisher, Leigh Bednar",Fairy tale,ECW Press,2012,"('Dominque Fisher', 'Leigh Bednar')","Dominque Fisher, Leigh Bednar"
21924,The Wonderful 101,Jerrold Bogan LLD,Horror,Shire Books,2015,"('Jerrold Bogan LLD',)",Jerrold Bogan LLD
21543,Wii Music,Cleo Predovic,Historical fiction,Kessinger Publishing,1990,"('Cleo Predovic',)",Cleo Predovic
21317,The House of Mirth,"Elmer Parker, Mireya Schroeder",Fable,St. Martin's Press,1990,"('Elmer Parker', 'Mireya Schroeder')","Elmer Parker, Mireya Schroeder"
21643,Fight Club,Latrina Kuphal,Narrative nonfiction,Athabasca University Press,2011,"('Latrina Kuphal',)",Latrina Kuphal
22050,WarioWare: Touched!,Ms. Kami Prosacco,Mythology,Chatto and Windus,1976,"('Ms. Kami Prosacco',)",Ms. Kami Prosacco
21597,Pokémon FireRed,Timmy Corwin,Comic/Graphic Novel,Victor Gollancz Ltd,2009,"('Timmy Corwin',)",Timmy Corwin
21693,Wolfenstein 2: The New Colossus,Alec Ziemann,Mythopoeia,Viking Press,2022,"('Alec Ziemann',)",Alec Ziemann
21875,The Glory and the Dream,Elvina Nader,Horror,Sams Publishing,2024,"('Elvina Nader',)",Elvina Nader
21728,The Heart Is a Lonely Hunter,"Rep. Bridgett Rosenbaum, Laureen Herzog, Charlsie Cummerata",Horror,Booktrope,2019,"('Charlsie Cummerata', 'Laureen Herzog', 'Rep. Bridgett Rosenbaum')","Charlsie Cummerata, Laureen Herzog, Rep. Bridgett Rosenbaum"
21328,The Millstone,Reuben Mayert,Reference book,Parachute Publishing,2023,"('Reuben Mayert',)",Reuben Mayert
21644,Left 4 Dead 2,Cruz Abshire MD,Mystery,Pantheon Books at Random House,2000,"('Cruz Abshire MD',)",Cruz Abshire MD
21796,A Time of Gifts,Rico Zemlak,Comic/Graphic Novel,Libertas Academica,1999,"('Rico Zemlak',)",Rico Zemlak
21662,Pokémon Black,Sen. Jackson Gutmann,Short story,HarperTrophy,2023,"('Sen. Jackson Gutmann',)",Sen. Jackson Gutmann
21998,Tender Is the Night,Miss Wade Lebsack,Comic/Graphic Novel,Pen and Sword Books,1980,"('Miss Wade Lebsack',)",Miss Wade Lebsack
21481,Oldeuboi,Ted Rutherford,Classic,Eel Pie Publishing,0,"('Ted Rutherford',)",Ted Rutherford
21623,Highway Blossoms,"Marlon Casper, Boyce Hoeger",Horror,Banner of Truth Trust,2024,"('Boyce Hoeger', 'Marlon Casper')","Boyce Hoeger, Marlon Casper"
21795,The Skull Beneath the Skin,Kristeen Kessler CPA,Science fiction,University of Alaska Press,2013,"('Kristeen Kessler CPA',)",Kristeen Kessler CPA
21633,The Godfather: Part II,Miss Wade Lebsack,Suspense/Thriller,Ian Allan Publishing,2008,"('Miss Wade Lebsack',)",Miss Wade Lebsack
21802,Pokémon Shield,Lonnie Hilpert,Mythology,Chick Publications,2012,"('Lonnie Hilpert',)",Lonnie Hilpert
21744,Bat Out of Hell,"Lawrence Hauck, Sean Kassulke",Realistic fiction,Ellora's Cave,2011,"('Lawrence Hauck', 'Sean Kassulke')","Lawrence Hauck, Sean Kassulke"
21950,L.A. Confidential,Shirlene Toy,Comic/Graphic Novel,Oberon Books,2005,"('Shirlene Toy',)",Shirlene Toy
21369,Django Unchained,"Edmundo Oberbrunner, Bernard Bayer, Amb. Elia Lebsack",Science fiction,Earthscan,1993,"('Amb. Elia Lebsack', 'Bernard Bayer', 'Edmundo Oberbrunner')","Amb. Elia Lebsack, Bernard Bayer, Edmundo Oberbrunner"
21306,That Hideous Strength,Rossana Cruickshank,Textbook,Chambers Harrap,2008,"('Rossana Cruickshank',)",Rossana Cruickshank
21834,Oops!... I Did It Again,"Mercedez Welch, Alphonso Gulgowski",Mystery,Burns & Oates,2014,"('Alphonso Gulgowski', 'Mercedez Welch')","Alphonso Gulgowski, Mercedez Welch"
21700,Star Wars: Episode VII - The Force Awakens,Gonzalo Macejkovic,Crime/Detective,Felony & Mayhem Press,1985,"('Gonzalo Macejkovic',)",Gonzalo Macejkovic
21338,Kingdom Hearts,Reginia Weissnat,Textbook,Carlton Publishing Group,1997,"('Reginia Weissnat',)",Reginia Weissnat
21522,Stranger in a Strange Land,Kasey Effertz,Folklore,Carnegie Mellon University Press,2026,"('Kasey Effertz',)",Kasey Effertz
21375,Command & Conquer: Red Alert 3,Tyson Beer,Science fiction,Victor Gollancz Ltd,,"('Tyson Beer',)",Tyson Beer
21357,3 Idiots,Sen. Amber Roberts,Legend,George Newnes,-1,"('Sen. Amber Roberts',)",Sen. Amber Roberts
21927,The Intouchables,Curtis Rohan,Short story,Nonesuch Press,1992,"('Curtis Rohan',)",Curtis Rohan
21509,A Scanner Darkly,"Brandi Cole, Veronique Carter",Science fiction,Pantheon Books at Random House,1966,"('Brandi Cole', 'Veronique Carter')","Brandi Cole, Veronique Carter"
21913,Pokémon Gold,Ted Rutherford,Speech,Left Book Club,1978,"('Ted Rutherford',)",Ted Rutherford
21934,Star Wars: Episode IV – A New Hope,Caroyln Wilderman,Narrative nonfiction,Mascot Books,2000,"('Caroyln Wilderman',)",Caroyln Wilderman
21987,Grease: The Original Soundtrack from the Motion Picture,Bob Treutel DDS,Science fiction,Heyday Books,1993,"('Bob Treutel DDS',)",Bob Treutel DDS
21449,Their Greatest Hits (1971–1975),Zoila Christiansen,Historical fiction,Haynes Manuals,1991,"('Zoila Christiansen',)",Zoila Christiansen
21492,What's Become of Waring,Yuette Parker,Biography/Autobiography,Pen and Sword Books,1985,"('Yuette Parker',)",Yuette Parker
21334,Raiders of the Lost Ark,Hoyt Jacobson III,Metafiction,Newnes,2004,"('Hoyt Jacobson III',)",Hoyt Jacobson III
21882,Super Mario Bros. 2,Irmgard Bogan I,Comic/Graphic Novel,Eel Pie Publishing,1976,"('Irmgard Bogan I',)",Irmgard Bogan I
22010,In Dubious Battle,"Franklyn Stokes VM, Timmy Corwin",Fantasy,Brimstone Press,,"('Franklyn Stokes VM', 'Timmy Corwin')","Franklyn Stokes VM, Timmy Corwin"
21486,Far Cry,Nick Ziemann,Legend,Zondervan,1986,"('Nick Ziemann',)",Nick Ziemann
21761,Pokémon: Let's Go Pikachu!,Selena Schroeder,Essay,G. P. Putnam's Sons,2005,"('Selena Schroeder',)",Selena Schroeder
21760,Super Smash Bros. Melee,"Edmundo Oberbrunner, Jerry Cormier, Bernard Bayer, Amb. Elia Lebsack",Fiction narrative,Carcanet Press,1990,"('Amb. Elia Lebsack', 'Bernard Bayer', 'Edmundo Oberbrunner', 'Jerry Cormier')","Amb. Elia Lebsack, Bernard Bayer, Edmundo Oberbrunner, Jerry Cormier"
21774,"The World, the Flesh and the Devil","Jeffery Leuschke PhD, Miss Bok Barrows, Era Hodkiewicz",Fantasy,Applewood Books,1982,"('Era Hodkiewicz', 'Jeffery Leuschke PhD', 'Miss Bok Barrows')","Era Hodkiewicz, Jeffery Leuschke PhD, Miss Bok Barrows"
